,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2004-07-01,20173.685140148315,-16827.609302957757,23879.972958038314,20173.685140148315,20173.685140148315,-16513.586584573994,-16513.586584573994,-16513.586584573994,-6708.807196007079,-6708.807196007079,-6708.807196007079,-9804.77938856691,-9804.77938856691,-9804.77938856691,0.0,0.0,0.0,3660.098555574321
1,2004-07-02,20176.309429980305,-17054.122632673494,26564.674349710913,20176.309429980305,20176.309429980305,-14412.830978589114,-14412.830978589114,-14412.830978589114,-4341.302359120182,-4341.302359120182,-4341.302359120182,-10071.528619468932,-10071.528619468932,-10071.528619468932,0.0,0.0,0.0,5763.478451391191
2,2004-07-03,20178.9337198123,2667.7022857209695,44697.19008214629,20178.9337198123,20178.9337198123,3373.41193307236,3373.41193307236,3373.41193307236,13624.105456447955,13624.105456447955,13624.105456447955,-10250.693523375596,-10250.693523375596,-10250.693523375596,0.0,0.0,0.0,23552.34565288466
3,2004-07-04,20181.558009644286,6804.077131412014,49563.96044454023,20181.558009644286,20181.558009644286,8035.5273728412285,8035.5273728412285,8035.5273728412285,18383.48319188335,18383.48319188335,18383.48319188335,-10347.955819042121,-10347.955819042121,-10347.955819042121,0.0,0.0,0.0,28217.085382485515
4,2004-07-05,20184.182299476277,-18756.094816415367,25021.3822068132,20184.182299476277,20184.182299476277,-17181.502253653336,-17181.502253653336,-17181.502253653336,-6811.6192117312075,-6811.6192117312075,-6811.6192117312075,-10369.883041922129,-10369.883041922129,-10369.883041922129,0.0,0.0,0.0,3002.680045822941
5,2004-07-06,20186.806589308268,-18888.11347706533,24837.453385558005,20186.806589308268,20186.806589308268,-17009.136992555952,-17009.136992555952,-17009.136992555952,-6685.388899109556,-6685.388899109556,-6685.388899109556,-10323.748093446395,-10323.748093446395,-10323.748093446395,0.0,0.0,0.0,3177.6695967523156
6,2004-07-07,20189.43087914026,-19623.305556807016,24445.900960450374,20189.43087914026,20189.43087914026,-17677.812352710345,-17677.812352710345,-17677.812352710345,-7460.470982410537,-7460.470982410537,-7460.470982410537,-10217.34137029981,-10217.34137029981,-10217.34137029981,0.0,0.0,0.0,2511.618526429913
7,2004-07-08,20192.055168972245,-18277.24545101192,24871.637289730228,20192.055168972245,20192.055168972245,-16767.58747160162,-16767.58747160162,-16767.58747160162,-6708.807196015183,-6708.807196015183,-6708.807196015183,-10058.780275586436,-10058.780275586436,-10058.780275586436,0.0,0.0,0.0,3424.4676973706264
8,2004-07-09,20194.67945880424,-15893.36831401779,26857.54295321511,20194.67945880424,20194.67945880424,-14197.623195355965,-14197.623195355965,-14197.623195355965,-4341.3023591340825,-4341.3023591340825,-4341.3023591340825,-9856.320836221883,-9856.320836221883,-9856.320836221883,0.0,0.0,0.0,5997.056263448274
9,2004-07-10,20197.30374863623,2279.929414139822,45470.83800448914,20197.30374863623,20197.30374863623,4005.9295025463052,4005.9295025463052,4005.9295025463052,13624.105456454443,13624.105456454443,13624.105456454443,-9618.175953908138,-9618.175953908138,-9618.175953908138,0.0,0.0,0.0,24203.233251182537
10,2004-07-11,20199.92803846822,7524.698484396919,50203.441476561246,20199.92803846822,20199.92803846822,9031.138683784533,9031.138683784533,9031.138683784533,18383.4831919053,18383.4831919053,18383.4831919053,-9352.34450812077,-9352.34450812077,-9352.34450812077,0.0,0.0,0.0,29231.066722252755
11,2004-07-12,20202.55232830021,-17997.204161603742,26239.782329636822,20202.55232830021,20202.55232830021,-15878.074330482508,-15878.074330482508,-15878.074330482508,-6811.61921171024,-6811.61921171024,-6811.61921171024,-9066.455118772268,-9066.455118772268,-9066.455118772268,0.0,0.0,0.0,4324.477997817703
12,2004-07-13,20205.1766181322,-16591.350635802773,25851.648647929236,20205.1766181322,20205.1766181322,-15453.016775765638,-15453.016775765638,-15453.016775765638,-6685.388899107427,-6685.388899107427,-6685.388899107427,-8767.62787665821,-8767.62787665821,-8767.62787665821,0.0,0.0,0.0,4752.15984236656
13,2004-07-14,20207.80090796419,-17338.35332828702,25807.00872248778,20207.80090796419,20207.80090796419,-15922.827758496753,-15922.827758496753,-15922.827758496753,-7460.470982406368,-7460.470982406368,-7460.470982406368,-8462.356776090382,-8462.356776090382,-8462.356776090382,0.0,0.0,0.0,4284.973149467436
14,2004-07-15,20210.425197796183,-17214.675643024602,25909.719930504216,20210.425197796183,20210.425197796183,-14865.222149248,-14865.222149248,-14865.222149248,-6708.807196023286,-6708.807196023286,-6708.807196023286,-8156.414953224713,-8156.414953224713,-8156.414953224713,0.0,0.0,0.0,5345.203048548183
15,2004-07-16,20213.049487628174,-11073.21554344744,29635.06990102285,20213.049487628174,20213.049487628174,-12196.086522278412,-12196.086522278412,-12196.086522278412,-4341.302359147986,-4341.302359147986,-4341.302359147986,-7854.784163130425,-7854.784163130425,-7854.784163130425,0.0,0.0,0.0,8016.962965349761
16,2004-07-17,20215.673777460164,4745.283899317692,47024.89341857195,20215.673777460164,20215.673777460164,6062.496218960492,6062.496218960492,6062.496218960492,13624.105456451362,13624.105456451362,13624.105456451362,-7561.60923749087,-7561.60923749087,-7561.60923749087,0.0,0.0,0.0,26278.169996420656
17,2004-07-18,20218.29806729215,11214.43453356656,52633.55941132027,20218.29806729215,20218.29806729215,11103.30562012676,11103.30562012676,11103.30562012676,18383.48319188241,18383.48319188241,18383.48319188241,-7280.17757175565,-7280.17757175565,-7280.17757175565,0.0,0.0,0.0,31321.60368741891
18,2004-07-19,20220.922357124142,-13915.513480576788,26158.85950634509,20220.922357124142,20220.922357124142,-13824.542225930138,-13824.542225930138,-13824.542225930138,-6811.619211717789,-6811.619211717789,-6811.619211717789,-7012.923014212349,-7012.923014212349,-7012.923014212349,0.0,0.0,0.0,6396.380131194004
19,2004-07-20,20223.546646956132,-14591.614422858223,30065.80541395344,20223.546646956136,20223.546646956136,-13446.841786820596,-13446.841786820596,-13446.841786820596,-6685.388899101516,-6685.388899101516,-6685.388899101516,-6761.452887719082,-6761.452887719082,-6761.452887719082,0.0,0.0,0.0,6776.704860135536
20,2004-07-21,20226.170936788123,-15267.17847291556,27385.197571991805,20226.170936788123,20226.170936788123,-13987.067266709779,-13987.067266709779,-13987.067266709779,-7460.470982402203,-7460.470982402203,-7460.470982402203,-6526.596284307577,-6526.596284307577,-6526.596284307577,0.0,0.0,0.0,6239.103670078344
21,2004-07-22,20228.795226620114,-14123.438006016613,29197.47919434859,20228.795226620114,20228.795226620114,-13017.278444468191,-13017.278444468191,-13017.278444468191,-6708.807196022156,-6708.807196022156,-6708.807196022156,-6308.471248446035,-6308.471248446035,-6308.471248446035,0.0,0.0,0.0,7211.516782151923
22,2004-07-23,20231.419516452104,-11608.0738686189,31908.879966406843,20231.419516452104,20231.419516452104,-10447.870378551544,-10447.870378551544,-10447.870378551544,-4341.302359131508,-4341.302359131508,-4341.302359131508,-6106.568019420036,-6106.568019420036,-6106.568019420036,0.0,0.0,0.0,9783.54913790056
23,2004-07-24,20234.043806284095,7358.406380972761,50271.35135070414,20234.043806284095,20234.043806284095,7704.260308998378,7704.260308998378,7704.260308998378,13624.10545645785,13624.10545645785,13624.10545645785,-5919.845147459472,-5919.845147459472,-5919.845147459472,0.0,0.0,0.0,27938.304115282474
24,2004-07-25,20236.668096116086,10912.958032022301,52274.07557238774,20236.668096116086,20236.668096116086,12636.648152027066,12636.648152027066,12636.648152027066,18383.483191875664,18383.483191875664,18383.483191875664,-5746.835039848597,-5746.835039848597,-5746.835039848597,0.0,0.0,0.0,32873.31624814315
25,2004-07-26,20239.292385948076,-11958.622847515977,29607.336020839575,20239.292385948076,20239.292385948076,-12397.374549139142,-12397.374549139142,-12397.374549139142,-6811.619211696821,-6811.619211696821,-6811.619211696821,-5585.755337442319,-5585.755337442319,-5585.755337442319,0.0,0.0,0.0,7841.917836808934
26,2004-07-27,20241.916675780063,-13672.57619097736,29130.031609144495,20241.916675780063,20241.916675780063,-12120.011369945656,-12120.011369945656,-12120.011369945656,-6685.388899107619,-6685.388899107619,-6685.388899107619,-5434.622470838039,-5434.622470838039,-5434.622470838039,0.0,0.0,0.0,8121.905305834407
27,2004-07-28,20244.540965612057,-15431.085408696854,27615.760386078156,20244.540965612057,20244.540965612057,-12751.834780762252,-12751.834780762252,-12751.834780762252,-7460.4709824009315,-7460.4709824009315,-7460.4709824009315,-5291.363798361321,-5291.363798361321,-5291.363798361321,0.0,0.0,0.0,7492.706184849805
28,2004-07-29,20247.165255444048,-15221.99149924216,30107.85624258931,20247.165255444048,20247.165255444048,-11862.732077359879,-11862.732077359879,-11862.732077359879,-6708.8071960302605,-6708.8071960302605,-6708.8071960302605,-5153.924881329617,-5153.924881329617,-5153.924881329617,0.0,0.0,0.0,8384.43317808417
29,2004-07-30,20249.78954527604,-9088.149838078125,30600.418506356582,20249.78954527604,20249.78954527604,-9361.6710586142,-9361.6710586142,-9361.6710586142,-4341.30235911503,-4341.30235911503,-4341.30235911503,-5020.368699499169,-5020.368699499169,-5020.368699499169,0.0,0.0,0.0,10888.118486661839
30,2004-07-31,20252.41383510803,7153.097879175074,51752.590911029154,20252.41383510803,20252.41383510803,8735.141513970017,8735.141513970017,8735.141513970017,13624.105456464338,13624.105456464338,13624.105456464338,-4888.963942494322,-4888.963942494322,-4888.963942494322,0.0,0.0,0.0,28987.555349078044
