ds,y
2004-07-01,2883
2004-07-02,1662
2004-07-03,5900
2004-07-04,791
2004-07-05,2009
2004-07-06,2357
2004-07-07,1316
2004-07-08,1149
2004-07-09,4085
2004-07-10,13914
2004-07-11,19088
2004-07-12,671
2004-07-13,1858
2004-07-14,2799
2004-07-15,402
2004-07-16,639
2004-07-17,3898
2004-07-18,17921
2004-07-19,3159
2004-07-20,3573
2004-07-21,4174
2004-07-22,3502
2004-07-23,3840
2004-07-24,8924
2004-07-25,7741
2004-07-26,6054
2004-07-27,6983
2004-07-28,6707
2004-07-29,5514
2004-07-30,4674
2004-07-31,8747
2004-08-01,12199
2004-08-02,11351
2004-08-03,11502
2004-08-04,9034
2004-08-05,8296
2004-08-06,7761
2004-08-07,12810
2004-08-08,13393
2004-08-09,6072
2004-08-10,4935
2004-08-11,4647
2004-08-12,4441
2004-08-13,4991
2004-08-14,11306
2004-08-15,19004
2004-08-16,7468
2004-08-17,5633
2004-08-18,3075
2004-08-19,3300
2004-08-20,10369
2004-08-21,21518
2004-08-22,19048
2004-08-23,8804
2004-08-24,8297
2004-08-25,7312
2004-08-26,4780
2004-08-27,6338
2004-08-28,19235
2004-08-29,25421
2004-08-30,6560
2004-08-31,4507
2004-09-01,3932
2004-09-02,3448
2004-09-03,4420
2004-09-04,15048
2004-09-05,26894
2004-09-06,3213
2004-09-07,694
2004-09-08,4431
2004-09-09,5143
2004-09-10,7623
2004-09-11,1215
2004-09-12,3156
2004-09-13,3742
2004-09-14,7616
2004-09-15,4115
2004-09-16,3218
2004-09-17,9412
2004-09-18,4705
2004-09-19,31351
2004-09-20,2662
2004-09-21,10136
2004-09-22,7877
2004-09-23,8355
2004-09-24,8403
2004-09-25,13749
2004-09-26,20509
2004-09-27,24133
2004-09-28,29785
2004-09-29,38386
2004-09-30,12620
2004-10-01,3770
2004-10-02,12646
2004-10-03,25995
2004-10-04,6221
2004-10-05,10946
2004-10-06,10288
2004-10-07,15267
2004-10-08,19929
2004-10-09,15095
2004-10-10,31277
2004-10-11,15702
2004-10-12,14723
2004-10-13,15534
2004-10-14,17799
2004-10-15,20944
2004-10-16,17821
2004-10-17,35280
2004-10-18,16627
2004-10-19,17236
2004-10-20,12691
2004-10-21,16417
2004-10-22,14994
2004-10-23,22808
2004-10-24,39270
2004-10-25,11815
2004-10-26,13196
2004-10-27,8703
2004-10-28,9271
2004-10-29,10915
2004-10-30,20182
2004-10-31,41423
2004-11-01,18792
2004-11-02,3827
2004-11-03,5879
2004-11-04,7079
2004-11-05,5997
2004-11-06,12870
2004-11-07,28496
2004-11-08,8504
2004-11-09,6941
2004-11-10,1814
2004-11-11,1984
2004-11-12,2528
2004-11-13,6040
2004-11-14,16057
2004-11-15,4120
2004-11-16,2764
2004-11-17,2814
2004-11-18,2492
2004-11-19,2975
2004-11-20,6420
2004-11-21,13391
2004-11-22,4272
2004-11-23,2542
2004-11-24,2240
2004-11-25,1998
2004-11-26,511
2004-11-27,3454
2004-11-28,9162
2004-11-29,3194
2004-11-30,2575
2004-12-01,2172
2004-12-02,1890
2004-12-03,2116
2004-12-04,448
2004-12-05,5096
2004-12-06,1051
2004-12-07,1047
2004-12-08,1329
2004-12-09,1469
2004-12-10,1411
2004-12-11,4011
2004-12-12,8514
2004-12-13,1426
2004-12-14,1459
2004-12-15,1896
2004-12-16,1363
2004-12-17,1369
2004-12-18,3030
2004-12-19,8537
2004-12-20,795
2004-12-21,682
2004-12-22,712
2004-12-23,586
2004-12-24,1227
2004-12-25,8675
2004-12-26,5830
2004-12-27,950
2004-12-28,1009
2004-12-29,1335
2004-12-30,1240
2004-12-31,1319
2005-01-01,6440
2005-01-02,6062
2005-01-03,858
2005-01-04,1200
2005-01-05,1603
2005-01-06,1783
2005-01-07,1940
2005-01-08,3004
2005-01-09,2362
2005-01-10,673
2005-01-11,1012
2005-01-12,1135
2005-01-13,1179
2005-01-14,1644
2005-01-15,3644
2005-01-16,5138
2005-01-17,1858
2005-01-18,1235
2005-01-19,1451
2005-01-20,841
2005-01-21,1063
2005-01-22,4397
2005-01-23,8837
2005-01-24,2974
2005-01-25,1736
2005-01-26,2216
2005-01-27,2204
2005-01-28,2266
2005-01-29,1882
2005-01-30,2717
2005-01-31,950
2005-02-01,323
2005-02-02,555
2005-02-03,847
2005-02-04,1143
2005-02-05,2879
2005-02-06,4560
2005-02-07,2229
2005-02-08,4486
2005-02-09,6073
2005-02-10,5655
2005-02-11,2505
2005-02-12,4426
2005-02-13,8490
2005-02-14,2621
2005-02-15,1104
2005-02-16,454
2005-02-17,2237
2005-02-18,1259
2005-02-19,2140
2005-02-20,2092
2005-02-21,925
2005-02-22,673
2005-02-23,1272
2005-02-24,1761
2005-02-25,1363
2005-02-26,2476
2005-02-27,6476
2005-02-28,4156
2005-03-01,19936
2005-03-02,4160
2005-03-03,1287
2005-03-04,1171
2005-03-05,3136
2005-03-06,11006
2005-03-07,2969
2005-03-08,1906
2005-03-09,2083
2005-03-10,630
2005-03-11,700
2005-03-12,1766
2005-03-13,4962
2005-03-14,2307
2005-03-15,2129
2005-03-16,2231
2005-03-17,1700
2005-03-18,1956
2005-03-19,13668
2005-03-20,32288
2005-03-21,7219
2005-03-22,2526
2005-03-23,3510
2005-03-24,1230
2005-03-25,1654
2005-03-26,22394
2005-03-27,39349
2005-03-28,7957
2005-03-29,4393
2005-03-30,4750
2005-03-31,4795
2005-04-01,6733
2005-04-02,20671
2005-04-03,22962
2005-04-04,17269
2005-04-05,74402
2005-04-06,10153
2005-04-07,4374
2005-04-08,7871
2005-04-09,7179
2005-04-10,23980
2005-04-11,14130
2005-04-12,20052
2005-04-13,12770
