ds,,,y,
2004-07-01,5766,2883,2883,0
2004-07-02,3324,1662,1662,
2004-07-03,11800,5900,5900,
2004-07-04,1582,791,791,
2004-07-05,4018,2009,2009,
2004-07-06,4714,2357,2357,
2004-07-07,2632,1316,1316,
2004-07-08,2298,1149,1149,
2004-07-09,8170,4085,4085,
2004-07-10,27828,13914,13914,
2004-07-11,38176,19088,19088,
2004-07-12,1342,671,671,
2004-07-13,3716,1858,1858,
2004-07-14,5598,2799,2799,
2004-07-15,804,402,402,
2004-07-16,1278,639,639,
2004-07-17,7796,3898,3898,
2004-07-18,35842,17921,17921,
2004-07-19,6318,3159,3159,
2004-07-20,7146,3573,3573,
2004-07-21,8348,4174,4174,
2004-07-22,7004,3502,3502,
2004-07-23,7680,3840,3840,
2004-07-24,17848,8924,8924,
2004-07-25,15482,7741,7741,
2004-07-26,12108,6054,6054,
2004-07-27,13966,6983,6983,
2004-07-28,13414,6707,6707,
2004-07-29,11028,5514,5514,
2004-07-30,9348,4674,4674,
2004-07-31,17494,8747,8747,
2004-08-01,24398,12199,12199,
2004-08-02,22702,11351,11351,
2004-08-03,23004,11502,11502,
2004-08-04,18068,9034,9034,
2004-08-05,16592,8296,8296,
2004-08-06,15522,7761,7761,
2004-08-07,25620,12810,12810,
2004-08-08,26786,13393,13393,
2004-08-09,12144,6072,6072,
2004-08-10,9870,4935,4935,
2004-08-11,9294,4647,4647,
2004-08-12,8882,4441,4441,
2004-08-13,9982,4991,4991,
2004-08-14,22612,11306,11306,
2004-08-15,38008,19004,19004,
2004-08-16,14936,7468,7468,
2004-08-17,11266,5633,5633,
2004-08-18,6150,3075,3075,
2004-08-19,6600,3300,3300,
2004-08-20,20738,10369,10369,
2004-08-21,43036,21518,21518,
2004-08-22,38096,19048,19048,
2004-08-23,17608,8804,8804,
2004-08-24,16594,8297,8297,
2004-08-25,14624,7312,7312,
2004-08-26,9560,4780,4780,
2004-08-27,12676,6338,6338,
2004-08-28,38470,19235,19235,
2004-08-29,50842,25421,25421,
2004-08-30,13120,6560,6560,
2004-08-31,9014,4507,4507,
2004-09-01,7864,3932,3932,
2004-09-02,6896,3448,3448,
2004-09-03,8840,4420,4420,
2004-09-04,30096,15048,15048,
2004-09-05,53788,26894,26894,
2004-09-06,6426,3213,3213,
2004-09-07,1388,694,694,
2004-09-08,8862,4431,4431,
2004-09-09,10286,5143,5143,
2004-09-10,15246,7623,7623,
2004-09-11,2430,1215,1215,
2004-09-12,6312,3156,3156,
2004-09-13,7484,3742,3742,
2004-09-14,15232,7616,7616,
2004-09-15,8230,4115,4115,
2004-09-16,6436,3218,3218,
2004-09-17,18824,9412,9412,
2004-09-18,9410,4705,4705,
2004-09-19,62702,31351,31351,
2004-09-20,5324,2662,2662,
2004-09-21,20272,10136,10136,
2004-09-22,15754,7877,7877,
2004-09-23,16710,8355,8355,
2004-09-24,16806,8403,8403,
2004-09-25,27498,13749,13749,
2004-09-26,41018,20509,20509,
2004-09-27,48266,24133,24133,
2004-09-28,59570,29785,29785,
2004-09-29,76772,38386,38386,
2004-09-30,25240,12620,12620,
2004-10-01,7540,3770,3770,
2004-10-02,25292,12646,12646,
2004-10-03,51990,25995,25995,
2004-10-04,12442,6221,6221,
2004-10-05,21892,10946,10946,
2004-10-06,20576,10288,10288,
2004-10-07,30534,15267,15267,
2004-10-08,39858,19929,19929,
2004-10-09,30190,15095,15095,
2004-10-10,62554,31277,31277,
2004-10-11,31404,15702,15702,
2004-10-12,29446,14723,14723,
2004-10-13,31068,15534,15534,
2004-10-14,35598,17799,17799,
2004-10-15,41888,20944,20944,
2004-10-16,35642,17821,17821,
2004-10-17,70560,35280,35280,
2004-10-18,33254,16627,16627,
2004-10-19,34472,17236,17236,
2004-10-20,25382,12691,12691,
2004-10-21,32834,16417,16417,
2004-10-22,29988,14994,14994,
2004-10-23,45616,22808,22808,
2004-10-24,78540,39270,39270,
